flight_index,flight_number,original_gate_name,original_gate_index,start_time_str,end_time_str,start_time_min,end_time_min,service_time_min
1,CEB310/311,A1,0,0100,0215,60,135,75
2,AIQ242/242,A1,0,0605,0705,365,425,60
3,CAL903,A1,0,,0810,,490,
4,APJ859/024,A1,0,0835,0930,515,570,55
5,CAL922/909,A1,0,1000,1100,600,660,60
6,JJP013/014,A1,0,1210,1310,730,790,60
7,TWB687/888,A1,0,1325,1425,805,865,60
8,TTW725/606,A1,0,1505,1640,905,1000,95
9,MXD883/883,A1,0,1730,1830,1050,1110,60
10,TTW721,A1,0,1850,,1130,,
11,CAL732/607,A1,0,1955,2230,1195,1350,155
12,JJA6153,A1,0,2330,,1410,,
13,JJA6154,A2,1,,0250,,170,
14,CAL833,A2,1,,0700,,420,
15,SJX715,A2,1,,0800,,480,
16,PAL890/891,A2,1,0845,0945,525,585,60
17,SJX870,A2,1,,1200,,720,
18,MXD882/882,A2,1,1220,1320,740,800,60
19,APJ925/926,A2,1,1350,1500,830,900,70
20,CAL834/923,A2,1,1530,1810,930,1090,160
21,CAL916/7847,A2,1,1925,2025,1165,1225,60
22,CAL790,A2,1,2125,,1285,,
23,SJX206,A2,1,2240,,1360,,
24,ESR886,A3,2,,0250,,170,
25,TTW742,A3,2,,0620,,380,
26,CAL160,A3,2,,0740,,460,
27,CAL764/030,A3,2,0805,0945,485,585,100
28,SJX725,A3,2,,1115,,675,
29,TTW743/228,A3,2,1155,1345,715,825,110
30,XAX378/378,A3,2,1425,1540,865,940,75
31,CAL910,A3,2,1555,,955,,
32,JJP055/054,A3,2,1720,1820,1040,1100,60
33,CAL029/755,A3,2,1835,2000,1115,1200,85
34,HGB704/705,A3,2,2020,2120,1220,1280,60
35,CAL794/837,A3,2,2140,2240,1300,1360,60
36,APJ723/722,A4,3,0024,0155,24,115,91
37,CAL068/761,A4,3,0515,0905,315,545,230
38,ESR881/882,A4,3,0930,1030,570,630,60
39,AXM1510/1511,A4,3,1055,1135,655,695,40
40,CAL602/863,A4,3,1210,1335,730,815,85
41,MAS866/867,A4,3,1410,1510,850,910,60
42,SJX841,A4,3,1545,,945,,
43,SJX823,A4,3,1705,,1025,,
44,CAL704,A4,3,1905,,1145,,
45,CAL772,A4,3,2105,,1265,,
46,CAL163,A4,3,2215,,1335,,
47,APJ627/620,A5,4,0035,0210,35,130,95
48,CAL062/831,A5,4,0552,0925,352,565,213
49,KAL2249/2250,A5,4,1030,1200,630,720,90
50,CAL783,A5,4,,1345,,825,
51,SJX804,A5,4,,1500,,900,
52,CAL792,A5,4,1520,,920,,
53,TTW201,A5,4,1625,,985,,
54,KAL187/188,A5,4,1750,1855,1070,1135,65
55,SJX851,A5,4,1935,,1175,,
56,CAL762/063,A5,4,2110,2320,1270,1400,130
57,ESR983/984,A6,5,2314,0305,1394,1625,231
58,CAL701,A6,5,,0720,,440,
59,CAL721,A6,5,,0845,,525,
60,SJX822,A6,5,,1015,,615,
61,TTW231/214,A6,5,1040,1130,640,690,50
62,KAL185/186,A6,5,1210,1320,730,800,70
63,CAL189/789,A6,5,1340,1445,820,885,65
64,CAL782,A6,5,1520,,920,,
65,APJ929/928,A6,5,1720,1805,1040,1085,45
66,SJX803,A6,5,1900,,1140,,
67,SJX861,A6,5,2055,,1255,,
68,CAL836,A6,5,2205,,1325,,
69,JNA755/756,A7,6,0005,0150,5,110,105
70,CAL011/771,A7,6,0544,0910,344,550,206
71,JNA731/732,A7,6,0925,1035,565,635,70
72,SJX860,A7,6,,1200,,720,
73,CAL121/703,A7,6,1225,1330,745,810,65
74,CAL161/162,A7,6,1410,1600,850,960,110
75,HKE114/115,A7,6,1645,1740,1005,1060,55
76,CAL832/061,A7,6,1800,2225,1080,1345,265
77,CAL924,A7,6,2310,,1390,,
78,JNA751/752,A8,7,2335,0240,1415,1600,185
79,CAL007/781,A8,7,0427,0715,267,435,168
80,CAL130,A8,7,,0835,,515,
81,CEB312/313,A8,7,0915,1030,555,630,75
82,JJA6101/6102,A8,7,1050,1150,650,710,60
83,CAL111/835,A8,7,1230,1330,750,810,60
84,CAL502/503,A8,7,1405,1630,845,990,145
85,SJX801/032,A8,7,1650,2010,1010,1210,200
86,CAL173,A8,7,2100,,1260,,
87,CAL920,A8,7,2205,,1325,,
88,TWB663/664,A9,8,0015,0200,15,120,105
89,CAL021,A9,8,0347,,227,,
90,CAL058/081,A9,8,0507,0805,307,485,178
91,SJX840,A9,8,,0935,,575,
92,APJ023/626,A9,8,0955,1050,595,650,55
93,CAL702/527,A9,8,1250,1450,770,890,120
94,SJX821/235,A9,8,1520,1700,920,1020,100
95,APJ027/028,A9,8,1750,1845,1070,1125,55
96,CAL1806/032,A9,8,2000,2335,1200,1415,215
97,TTW603/654,B1,9,0215,0640,135,400,265
98,CAL756/705,B1,9,0655,0810,415,490,75
99,AMU632/631,B1,9,0855,0945,535,585,50
100,APG124/125,B1,9,1000,1040,600,640,40
101,DKH1309/1310,B1,9,1100,1215,660,735,75
102,VJC844/845,B1,9,1300,1410,780,850,70
103,HKE112/113,B1,9,1425,1520,865,920,55
104,TTW237/551,B1,9,1545,1700,945,1020,75
105,AIQ243/243,B1,9,1800,1855,1080,1135,55
106,APJ625/860,B1,9,1940,2025,1180,1225,45
107,CPA464/469,B1,9,2120,2220,1280,1340,60
108,TTW203,B1,9,2235,,1355,,
109,APG128/129,B2,10,0130,0215,90,135,45
110,VJC840/841,B2,10,0445,0610,285,370,85
111,SJX846,B2,10,,0730,,450,
112,TTW724,B2,10,,0835,,515,
113,SJX850,B2,10,,1005,,605,
114,SJX862,B2,10,,1135,,695,
115,EOK511/512,B2,10,1220,1315,740,795,55
116,AMU612/611,B2,10,1340,1440,820,880,60
117,PAL896/897,B2,10,1520,1655,920,1015,95
118,TTW215/602,B2,10,1740,2000,1060,1200,140
119,CAL187,B2,10,2125,,1285,,
120,TTW607,B2,10,2225,,1345,,
121,TTW240,B3,11,,0615,,375,
122,CAL601,B3,11,,0725,,445,
123,CAL791,B3,11,,0825,,505,
124,APJ923/922,B3,11,0845,0935,525,575,50
125,HGB702/703,B3,11,0950,1055,590,655,65
126,VJC940/941,B3,11,1110,1210,670,730,60
127,SJX234/838,B3,11,1320,1455,800,895,95
128,CPA420/421,B3,11,1530,1630,930,990,60
129,AIQ231/231,B3,11,1730,1830,1050,1110,60
130,TVJ569/569,B3,11,1845,1945,1125,1185,60
131,HKE116/117,B3,11,2030,2125,1230,1285,55
132,SJX726,B3,11,2205,,1325,,
133,TTW552,B3,11,2315,,1395,,
134,TGW897/897,B4,12,0125,0225,85,145,60
135,TGW876/876,B4,12,0545,0645,345,405,60
136,SJX820,B4,12,,0830,,510,
137,CPA422/477,B4,12,0855,1055,535,655,120
138,AIQ230/230,B4,12,1220,1330,740,810,70
139,TVJ568/568,B4,12,1350,1450,830,890,60
140,TGW877/877,B4,12,1530,1630,930,990,60
141,THA634/635,B4,12,1720,1850,1040,1130,90
142,AMU618/615,B4,12,2015,2105,1215,1265,50
143,SJX839,B4,12,2200,,1320,,
144,XAX379,B4,12,2300,,1380,,
145,CPA408,B5,13,0035,,35,,
146,TTW210,B5,13,,0640,,400,
147,CPA407,B5,13,,0800,,480,
148,CAL731,B5,13,,0930,,570,
149,CPA488/489,B5,13,0955,1055,595,655,60
150,CPA450/450,B5,13,1150,1300,710,780,70
151,CAL915,B5,13,,1435,,875,
152,CPA400/443,B5,13,1510,1610,910,970,60
153,TGW896/896,B5,13,1640,1740,1000,1060,60
154,CPA565/565,B5,13,1815,1915,1095,1155,60
155,CPA402/479,B5,13,2005,2105,1205,1265,60
156,SJX236,B5,13,2210,,1330,,
157,ESR885,B5,13,2350,,1430,,
158,XAX379,B6,14,,0015,,15,
159,EVA206/184,B6,14,0620,0755,380,475,95
160,TTW234,B6,14,,0620,,380,
161,EVA215,B6,14,,0925,,565,
162,CQH8951/8952,B6,14,1015,1115,615,675,60
163,TTW655/720,B6,14,1135,1235,695,755,60
164,THA632/633,B6,14,1305,1405,785,845,60
165,TGW870/870,B6,14,1430,1530,870,930,60
166,SJX871,B6,14,1616,,976,,
167,CPA472/473,B6,14,1717,1840,1037,1120,83
168,SJX803,B6,14,1832,,1112,,
169,SJX863,B6,14,1937,,1177,,
170,CAL2763,B6,14,2000,,1200,,
171,EVA101,B6,14,2045,,1245,,
172,EVA256,B6,14,2200,,1320,,
173,SJX805,B6,14,2320,,1400,,
174,JJP011/012,B7,15,0140,0240,100,160,60
175,EVA055,B7,15,0419,,259,,
176,EVA281,B7,15,,0800,,480,
177,EVA227,B7,15,,0930,,570,
178,CPA564/564,B7,15,1005,1105,605,665,60
179,EVA133/385,B7,15,1255,1440,775,880,105
180,EVA802/805,B7,15,1500,1640,900,1000,100
181,EVA212,B7,15,1715,,1035,,
182,CPA451/451,B7,15,1825,1930,1105,1170,65
183,EVA202,B7,15,2000,,1200,,
184,EVA872,B7,15,2130,,1290,,
185,EVA766,B7,15,2235,,1355,,
186,JJP051/050,B8,16,0130,0230,90,150,60
187,SJX001/800,B8,16,0456,0830,296,510,214
188,EVA707,B8,16,,1000,,600,
189,HKE110/111,B8,16,1245,1340,765,820,55
190,EVA234/716,B8,16,1400,1605,840,965,125
191,EVA384/381,B8,16,1645,1935,1005,1175,170
192,EVA068,B8,15,2130,,1290,,
193,SJX012,B8,16,2230,0010,1350,1450,100
194,SJX002,B9,17,,0010,,10,
195,SJX031,B9,17,0421,,261,,
196,EVA051,B9,17,0531,,331,,
197,SJX771,B9,17,,0800,,480,
198,EVA712,B9,17,,0955,,595,
199,CPA530/530,B9,17,1035,1135,635,695,60
200,CPA494/495,B9,17,1210,1320,730,800,70
201,EVA105/871,B9,17,1345,1640,825,1000,175
202,EVA266/857,B9,17,1710,1810,1030,1090,60
203,CPA531/531,B9,17,1850,1950,1130,1190,60
204,SJX863,B9,17,2010,,1210,,
205,EVA159,B9,17,2125,,1285,,
206,SJX002,B9,17,2230,0010,1350,1450,100
207,SJX012,C1,18,0005,,5,,
208,EVA178,C1,18,,0630,,390,
209,EVA031/397,C1,18,0646,0900,406,540,134
210,SJX802,C1,18,,1040,,640,
211,EVA869,C1,18,,1240,,760,
212,SJX847/713,C1,18,1320,1440,800,880,80
213,EVA711,C1,18,1505,,905,,
214,UIA187,C1,18,,1625,,985,
215,EVA007,C1,18,1710,,1030,,
216,EVA115/205,C1,18,1915,2045,1155,1245,90
217,EVA238/071,C1,18,2055,2355,1255,1435,180
218,EVA017/067,C2,19,0451,0815,291,495,204
219,EVA383,C2,19,,0945,,585,
220,AAR711/712,C2,19,1150,1350,710,830,120
221,EVA272/012,C2,19,1455,1940,895,1180,285
222,EVA216/087,C2,19,1950,2330,1190,1410,220
223,EVA023,C3,20,0337,,217,,
224,EVA009,C3,20,0456,,296,,
225,EVA096/237,C3,20,0555,0900,355,540,185
226,CCA195/196,C3,20,1325,1440,805,880,75
227,EVA282/722,C3,20,1510,1630,910,990,80
228,EVA005/261,C3,20,1655,2030,1015,1230,215
229,EVA024,C3,20,,2300,,1380,
230,EVA195,C3,20,2320,,1400,,
231,EVA011/271,C4,21,0435,0920,275,560,285
232,EVA892/130,C4,21,1155,1335,715,815,100
233,EVA160,C4,21,,1515,,915,
234,EVA398/032,C4,21,1555,1910,955,1150,195
235,EVA129,C4,21,2030,,1230,,
236,EVA028,C4,21,,2340,,1420,
237,EVA225,C5,22,,0740,,460,
238,EVA391,C5,22,,0920,,560,
239,EVA169/277,C5,22,1335,1515,815,915,100
240,EVA062,C5,22,1605,,965,,
241,EVA036,C5,22,,1920,,1160,
242,EVA228/016,C5,22,2025,2355,1225,1435,210
243,EVA027/395,C6,23,0429,0730,269,450,181
244,EVA262/008,C6,23,0805,1015,485,615,130
245,EVA765,C6,23,,1430,,870,
246,EVA131,C6,23,1505,,905,,
247,EVA165,C6,23,1620,,980,,
248,EVA226/018,C6,23,1745,1940,1065,1180,115
249,EVA052,C6,23,,2120,,1280,
250,EVA010,C6,23,,2330,,1410,
251,EVA715,C6,23,2355,,1435,,
252,EVA015,C7,24,0455,,295,,
253,EVA035,C7,24,0609,,369,,
254,EVA233,C7,24,,0900,,540,
255,EVA852/102,C7,24,1300,1510,780,910,130
256,AAR713/714,C7,24,1550,1710,950,1030,80
257,SJX742/010,C7,24,1800,2005,1080,1205,125
258,EVA185,C7,24,2030,,1230,,
259,EVA026,C7,24,,2340,,1420,
260,EVA891,C8,25,,0700,,420,
261,EVA265,C8,25,,0845,,525,
262,EVA006,C8,25,,1010,,610,
263,CRK252/253,C8,25,1115,1220,675,740,65
264,EVA177/196,C8,25,1305,1520,785,920,135
265,ABL791/792,C8,25,1535,1630,935,990,55
266,EVA392,C8,25,1715,,1035,,
267,EVA856,C8,25,1900,,1140,,
268,EVA396,C8,25,2010,,1210,,
269,EVA278,C8,25,2125,,1285,,
270,EVA095,C8,25,,2345,,1425,
271,EVA025,C9,26,0426,,266,,
272,EVA211,C9,26,,0820,,500,
273,EVA801,C9,26,,1000,,600,
274,EVA113/855,C9,26,1055,1410,655,850,195
275,CRK254/255,C9,26,1445,1545,885,945,60
276,EVA183,C9,26,1605,,965,,
277,EVA870/056,C9,26,1715,2000,1035,1200,165
278,EVA061,C9,26,,2230,,1350,
279,SJX714,C9,26,2255,,1375,,
280,EVA112,C10,27,,0645,,405,
281,EVA851,C10,27,,0815,,495,
282,EVA867,C10,27,,1005,,605,
283,ABL793/794,C10,27,1235,1325,755,805,50
284,SJX782/703,C10,27,1340,1545,820,945,125
285,EVA258/809,C10,27,1635,1900,995,1140,145
286,CRK284/285,C10,27,1915,2015,1155,1215,60
287,CRK282/283,C10,27,2045,2145,1245,1305,60
288,SJX792,C10,27,2200,,1320,,
289,EVA810,C10,27,2330,,1410,,
290,SJX009/711,D1,28,0322,0740,202,460,258
291,SJX741,D1,28,,0900,,540,
292,CAL104,D1,28,,1240,,760,
293,CAL904/521,D1,28,1300,1410,780,850,70
294,CES5007/5008,D1,28,1425,1530,865,930,65
295,CAL153/919,D1,28,1555,1700,955,1020,65
296,CES5005/5006,D1,28,1740,1840,1060,1120,60
297,CAL722/024,D1,28,1935,2110,1175,1270,95
298,CAL784/053,D1,28,2200,2355,1320,1435,115
299,CAL023,D2,29,0411,,251,,
300,CAL054/753,D2,29,0516,0805,316,485,169
301,UAL872,D2,29,,0950,,590,
302,CCA149/150,D2,29,1120,1230,680,750,70
303,SJX745,D2,29,,1350,,830,
304,CAL155/186,D2,29,1430,1545,870,945,75
305,CSZ9073/9074,D2,29,1630,1735,990,1055,65
306,CAL754/022,D2,29,1835,2330,1115,1410,295
307,CAL278,D3,30,,0655,,415,
308,CAL838,D3,30,0725,,445,,
