flight_number,original_gate_name,original_gate_index,start_time_str,end_time_str,updated_start_str,updated_end_str
JJA6154,A1,1,,0250,,0242
AIQ242/242,A1,1,0521,0705,0526,0651
CAL903,A1,1,,0810,,0814
APJ859/024,A1,1,0827,0930,0821,0928
APJ023/626,A1,1,0921,1050,0934,1043
JJP013/014,A1,1,1136,1310,1143,1305
TWB687/688,A1,1,1319,1425,1325,1422
TTW725/606,A1,1,1431,1640,1436,1629
MXD883/883,A1,1,1719,1830,1726,1836
CAL732/607,A1,1,1941,2230,1950,2222
SJX206,A1,1,2224,,2231,
JJA6153,A1,1,2313,,2329,
APJ627/620,A2,2,0023,0210,0024,0204
CAL833,A2,2,,0700,,0706
SJX715,A2,2,,0800,,0808
PAL890/891,A2,2,0846,0945,0836,0950
MXD882/882,A2,2,1151,1320,1214,1319
SJX870,A2,2,,1200,,1149
APJ925/926,A2,2,1333,1500,1333,1501
CAL834/923,A2,2,1530,1810,1539,1811
TTW721,A2,2,1814,,1822,
CAL916/7847,A2,2,1925,2025,1943,2030
CAL790,A2,2,2125,,2133,
CAL924,A2,2,2239,,2258,
ESR885,A2,2,2326,,2352,
ESR886,A3,3,,0325,,0313
TTW742,A3,3,,0620,,0617
CAL160,A3,3,,0740,,0742
CAL764/030,A3,3,0757,0945,0808,0955
CAL922/909,A3,3,0948,1100,1002,1057
TTW743/228,A3,3,1116,1345,1122,1342
XAX378/378,A3,3,1411,1540,1421,1545
CAL910,A3,3,1555,,1605,
JJP055/054,A3,3,1714,1820,1716,1827
CAL029/755,A3,3,1841,2000,1849,2000
HGB704/705,A3,3,2006,2120,2012,2122
CAL794/709,A3,3,2146,2345,2154,2337
APJ723/722,A4,4,0019,0155,0027,0147
CAL068/761,A4,4,0505,0905,0515,0916
ESR881/882,A4,4,0903,1030,0921,1035
CAL602/863,A4,4,1210,1335,1211,1347
MAS366/367,A4,4,1451,1510,1425,1533
SJX841,A4,4,1531,,1540,
SJX823,A4,4,1644,,1652,
CAL2763,A4,4,2000,,1952,
