flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B
1,110,60,102,1,1,0,0,40
2,321,104,326,1,0,1,0,80
3,430,60,434,1,0,1,0,80
4,507,63,501,1,0,1,0,80
5,561,89,574,1,1,0,0,40
6,696,94,703,1,1,0,0,40
7,799,66,805,1,1,0,0,40
8,871,129,876,1,0,1,0,80
9,1039,71,1046,1,0,1,0,80
10,1181,169,1190,1,0,1,0,80
11,1344,30,1351,1,1,0,0,40
12,1393,30,1409,1,0,1,0,80
13,23,107,24,2,0,1,0,80
14,360,60,366,2,1,0,0,40
15,420,60,428,2,1,0,0,40
16,526,59,516,2,1,0,0,40
17,711,89,734,2,1,0,0,40
18,660,60,649,2,1,0,0,40
19,813,87,813,2,1,0,0,40
20,930,160,939,2,1,0,0,40
21,1094,30,1102,2,0,1,0,80
22,1165,60,1183,2,1,0,0,40
23,1285,30,1293,2,1,0,0,40
24,1359,30,1378,2,1,0,0,40
25,1406,30,1432,2,1,0,0,40
26,145,60,133,3,0,1,0,80
27,320,60,317,3,1,0,0,40
28,400,60,402,3,1,0,0,40
29,477,108,488,3,0,1,0,80
30,588,72,602,3,1,0,0,40
31,676,149,682,3,0,1,0,80
32,851,89,861,3,1,0,0,40
33,955,30,965,3,1,0,0,40
34,1034,66,1036,3,0,1,0,80
35,1121,79,1129,3,0,1,0,80
36,1206,74,1212,3,0,1,0,80
37,1306,119,1314,3,1,0,0,40
38,19,96,27,4,1,0,0,40
39,305,240,315,4,0,1,0,80
40,543,87,561,4,1,0,0,40
41,730,85,731,4,1,0,0,40
42,891,19,865,4,1,0,0,40
43,931,30,940,4,1,0,0,40
44,1004,30,1012,4,0,1,0,80
45,1200,30,1192,4,1,0,0,40
46,1257,30,1266,4,0,1,0,80
47,1315,30,1327,4,1,0,0,40
48,341,224,350,5,1,0,0,40
49,597,123,599,5,1,0,0,40
50,765,60,769,5,1,0,0,40
51,840,60,838,5,0,1,0,80
52,927,30,936,5,0,1,0,80
53,1000,60,1003,5,0,1,0,80
54,1075,60,1085,5,0,1,0,80
55,1162,30,1167,5,0,1,0,80
56,1253,147,1261,5,0,1,0,80
57,12,108,13,6,1,0,0,40
58,380,60,386,6,1,0,0,40
59,465,60,479,6,1,0,0,40
60,614,76,619,6,1,0,0,40
61,555,60,555,6,1,0,0,40
62,711,89,715,6,1,0,0,40
63,814,71,824,6,0,1,0,80
64,914,30,922,6,1,0,0,40
65,962,30,974,6,1,0,0,40
66,1018,67,1020,6,1,0,0,40
67,1149,30,1158,6,1,0,0,40
68,1223,30,1229,6,0,1,0,80
69,1335,104,1340,6,1,0,0,40
70,1394,231,1398,7,0,1,0,80
71,261,30,270,7,0,1,0,80
72,358,192,366,7,1,0,0,40
73,574,61,566,7,1,0,0,40
74,660,60,648,7,0,1,0,80
75,737,73,747,7,0,1,0,80
76,850,110,860,7,0,1,0,80
77,1005,30,1012,7,0,1,0,80
78,1094,251,1103,7,1,0,0,40
79,1399,30,1407,7,1,0,0,40
80,30,80,51,8,1,0,0,40
81,276,159,285,8,0,1,0,80
82,455,60,459,8,0,1,0,80
83,542,88,536,8,1,0,0,40
84,641,69,650,8,1,0,0,40
85,732,78,738,8,1,0,0,40
86,866,124,874,8,1,0,0,40
87,990,220,995,8,0,1,0,80
88,1255,155,1264,8,0,1,0,80
89,1415,185,6,9,0,1,0,80
90,229,30,239,9,1,0,0,40
91,308,177,317,9,1,0,0,40
