flight_id,A_i,S_i,U_i,original_gate,S,L,XL,B,flight_number
1,110,60,102,1,1,0,0,40,JJA6154
2,321,104,326,1,0,1,0,80,AIQ242/242
3,430,60,434,1,0,1,0,80,CAL903
4,507,63,501,1,0,1,0,80,APJ859/024
5,561,89,574,1,1,0,0,40,APJ023/626
6,696,94,703,1,1,0,0,40,JJP013/014
7,799,66,805,1,1,0,0,40,TWB687/688
8,871,129,876,1,0,1,0,80,TTW725/606
9,1039,71,1046,1,0,1,0,80,MXD883/883
10,1181,169,1190,1,0,1,0,80,CAL732/607
11,1344,30,1351,1,1,0,0,40,SJX206
12,1393,30,1409,1,0,1,0,80,JJA6153
13,23,107,24,2,0,1,0,80,APJ627/620
14,360,60,366,2,1,0,0,40,CAL833
15,420,60,428,2,1,0,0,40,SJX715
16,526,59,516,2,1,0,0,40,PAL890/891
17,711,89,734,2,1,0,0,40,MXD882/882
18,660,60,649,2,1,0,0,40,SJX870
19,813,87,813,2,1,0,0,40,APJ925/926
20,930,160,939,2,1,0,0,40,CAL834/923
21,1094,30,1102,2,0,1,0,80,TTW721
22,1165,60,1183,2,1,0,0,40,CAL916/7847
23,1285,30,1293,2,1,0,0,40,CAL790
24,1359,30,1378,2,1,0,0,40,CAL924
25,1406,30,1432,2,1,0,0,40,ESR885
26,145,60,133,3,0,1,0,80,ESR886
27,320,60,317,3,1,0,0,40,TTW742
28,400,60,402,3,1,0,0,40,CAL160
29,477,108,488,3,0,1,0,80,CAL764/030
30,588,72,602,3,1,0,0,40,CAL922/909
31,676,149,682,3,0,1,0,80,TTW743/228
32,851,89,861,3,1,0,0,40,XAX378/378
33,955,30,965,3,1,0,0,40,CAL910
34,1034,66,1036,3,0,1,0,80,JJP055/054
35,1121,79,1129,3,0,1,0,80,CAL029/755
36,1206,74,1212,3,0,1,0,80,HGB704/705
37,1306,119,1314,3,1,0,0,40,CAL794/709
38,19,96,27,4,1,0,0,40,APJ723/722
39,305,240,315,4,0,1,0,80,CAL068/761
40,543,87,561,4,1,0,0,40,ESR881/882
41,730,85,731,4,1,0,0,40,CAL602/863
42,891,19,865,4,1,0,0,40,MAS366/367
43,931,30,940,4,1,0,0,40,SJX841
44,1004,30,1012,4,0,1,0,80,SJX823
45,1200,30,1192,4,1,0,0,40,CAL2763
46,1257,30,1266,4,0,1,0,80,CAL772
47,1315,30,1327,4,1,0,0,40,CAL920
48,341,224,350,5,1,0,0,40,CAL062/831
49,597,123,599,5,1,0,0,40,KAL2249/2250
50,765,60,769,5,1,0,0,40,CAL783
51,840,60,838,5,0,1,0,80,SJX804
52,927,30,936,5,0,1,0,80,CAL792
53,1000,60,1003,5,0,1,0,80,HKE114/115
54,1075,60,1085,5,0,1,0,80,KAL187/188
55,1162,30,1167,5,0,1,0,80,SJX851
56,1253,147,1261,5,0,1,0,80,CAL762/063
57,12,108,13,6,1,0,0,40,TWB663/664
58,380,60,386,6,1,0,0,40,CAL701
59,465,60,479,6,1,0,0,40,CAL721
60,614,76,619,6,1,0,0,40,TTW231/214
61,555,60,555,6,1,0,0,40,SJX822
62,711,89,715,6,1,0,0,40,KAL185/186
63,814,71,824,6,0,1,0,80,CAL189/789
64,914,30,922,6,1,0,0,40,CAL782
65,962,30,974,6,1,0,0,40,TTW201
66,1018,67,1020,6,1,0,0,40,APJ929/928
67,1149,30,1158,6,1,0,0,40,CAL704
68,1223,30,1229,6,0,1,0,80,SJX861
69,1335,104,1340,6,1,0,0,40,CAL163/2122
70,1394,231,1398,7,0,1,0,80,ESR983/984
71,261,30,270,7,0,1,0,80,CAL023
72,358,192,366,7,1,0,0,40,CAL011/771
73,574,61,566,7,1,0,0,40,JNA731/732
74,660,60,648,7,0,1,0,80,SJX860
75,737,73,747,7,0,1,0,80,CAL121/703
76,850,110,860,7,0,1,0,80,CAL161/162
77,1005,30,1012,7,0,1,0,80,CAL101
78,1094,251,1103,7,1,0,0,40,CAL832/061
79,1399,30,1407,7,1,0,0,40,CAL784
80,30,80,51,8,1,0,0,40,JNA755/756
81,276,159,285,8,0,1,0,80,CAL007/781
82,455,60,459,8,0,1,0,80,CAL130
83,542,88,536,8,1,0,0,40,CEB312/313
84,641,69,650,8,1,0,0,40,JJA6101/6102
85,732,78,738,8,1,0,0,40,CAL111/835
86,866,124,874,8,1,0,0,40,CAL502/503
87,990,220,995,8,0,1,0,80,SJX801/032
88,1255,155,1264,8,0,1,0,80,CAL005/057
89,1415,185,6,9,0,1,0,80,JNA751/752
90,229,30,239,9,1,0,0,40,CAL021
91,308,177,317,9,1,0,0,40,CAL058/081
92,515,60,516,9,0,1,0,80,SJX840
