航班ID,原始指派,最新指派,更新後抵達時間,作業開始時間,作業結束時間,班號
1,1,1,102,102,162,JJA6154
2,1,1,326,326,430,AIQ242/242
3,1,1,434,434,494,CAL903
4,1,1,501,501,564,APJ859/024
5,1,1,574,574,663,APJ023/626
6,1,1,703,703,797,JJP013/014
7,1,1,805,805,871,TWB687/688
8,1,1,876,876,1005,TTW725/606
9,1,1,1046,1046,1117,MXD883/883
10,1,1,1190,1190,1359,CAL732/607
11,1,1,1351,1359,1389,SJX206
12,1,1,1409,1409,1439,JJA6153
13,2,2,24,24,131,APJ627/620
14,2,2,366,366,426,CAL833
15,2,2,428,428,488,SJX715
16,2,2,516,516,575,PAL890/891
17,2,2,734,734,823,MXD882/882
18,2,2,649,649,709,SJX870
19,2,2,813,823,910,APJ925/926
20,2,2,939,939,1099,CAL834/923
21,2,2,1102,1102,1132,TTW721
22,2,2,1183,1183,1243,CAL916/7847
23,2,2,1293,1293,1323,CAL790
24,2,2,1378,1378,1408,CAL924
25,2,2,1432,1432,1462,ESR885
26,3,3,133,133,193,ESR886
27,3,3,317,317,377,TTW742
28,3,3,402,402,462,CAL160
29,3,3,488,488,596,CAL764/030
30,3,3,602,602,674,CAL922/909
31,3,3,682,682,831,TTW743/228
32,3,3,861,891,980,XAX378/378
33,3,7,965,970,1000,CAL910
34,3,3,1036,1036,1102,JJP055/054
35,3,3,1129,1129,1208,CAL029/755
36,3,3,1212,1212,1286,HGB704/705
37,3,3,1314,1314,1433,CAL794/709
38,4,4,27,27,123,APJ723/722
39,4,4,315,315,555,CAL068/761
40,4,4,561,561,648,ESR881/882
41,4,4,731,731,816,CAL602/863
42,4,4,865,865,884,MAS366/367
43,4,4,940,940,970,SJX841
44,4,4,1012,1076,1106,SJX823
45,4,4,1192,1192,1222,CAL2763
46,4,4,1266,1266,1296,CAL772
47,4,4,1327,1327,1357,CAL920
48,5,5,350,390,614,CAL062/831
49,5,5,599,614,737,KAL2249/2250
50,5,5,769,769,829,CAL783
51,5,5,838,838,898,SJX804
52,5,5,936,936,966,CAL792
53,5,5,1003,1003,1063,HKE114/115
54,5,5,1085,1085,1145,KAL187/188
55,5,5,1167,1167,1197,SJX851
56,5,5,1261,1261,1408,CAL762/063
57,6,6,13,13,121,TWB663/664
58,6,6,386,386,446,CAL701
59,6,6,479,479,539,CAL721
60,6,6,619,619,695,TTW231/214
61,6,6,555,555,615,SJX822
62,6,6,715,715,804,KAL185/186
63,6,6,824,824,895,CAL189/789
64,6,6,922,922,952,CAL782
65,6,6,974,974,1004,TTW201
66,6,6,1020,1020,1087,APJ929/928
67,6,6,1158,1158,1188,CAL704
68,6,6,1229,1229,1259,SJX861
69,6,6,1340,1340,1444,CAL163/2122
70,7,7,1398,1398,1629,ESR983/984
71,7,7,270,270,300,CAL023
72,7,7,366,366,558,CAL011/771
73,7,7,566,566,627,JNA731/732
74,7,7,648,648,708,SJX860
75,7,7,747,747,820,CAL121/703
76,7,7,860,860,970,CAL161/162
77,7,7,1012,1012,1042,CAL101
78,7,7,1103,1103,1354,CAL832/061
79,7,3,1407,1433,1463,CAL784
80,8,8,51,51,131,JNA755/756
81,8,8,285,285,444,CAL007/781
82,8,8,459,459,519,CAL130
83,8,8,536,536,624,CEB312/313
84,8,8,650,650,719,JJA6101/6102
85,8,8,738,738,816,CAL111/835
86,8,8,874,874,998,CAL502/503
87,8,8,995,998,1218,SJX801/032
88,8,8,1264,1264,1419,CAL005/057
89,9,9,6,6,191,JNA751/752
90,9,9,239,239,269,CAL021
91,9,9,317,317,494,CAL058/081
92,9,9,516,516,576,SJX840
93,9,9,620,620,680,SJX862
94,9,9,781,781,901,CAL702/527
95,9,9,909,909,1024,SJX821/235
96,9,9,1055,1055,1131,APJ027/028
97,9,9,1188,1188,1283,CAL722/024
98,9,9,-56,-56,4,CAL032
99,10,10,98,98,403,TTW603/654
100,10,10,413,413,504,CAL756/705
101,10,10,527,527,583,AMU632/631
102,10,10,597,597,658,APG124/125
103,10,10,651,658,756,DKH1309/1310
104,10,10,775,775,862,VJC844/845
105,10,10,867,867,931,HKE112/113
106,10,10,947,947,1027,TTW237/551
107,10,10,1060,1060,1141,AIQ243/243
108,10,10,1166,1166,1236,APJ625/860
109,10,10,1329,1329,1359,TTW203
110,11,11,71,71,144,APG128/129
111,11,11,386,386,446,SJX846
112,11,11,444,446,506,TTW724
113,11,11,542,542,602,SJX850
114,11,11,612,612,672,SJX725
115,11,11,731,731,809,EOK511/512
116,11,11,831,831,892,
117,11,11,902,902,1028,PAL896/897
118,11,11,1053,1053,1210,TTW215/602
119,11,11,1271,1271,1352,CPA464/469
120,11,11,1338,1352,1382,TTW607
121,12,12,311,311,371,TTW240
122,12,12,392,392,452,CAL601
123,12,12,528,528,599,APJ923/922
124,12,12,461,461,521,CAL791
125,12,12,587,599,693,HGB702/703
126,12,12,679,693,753,VJC940/941
127,12,12,795,795,908,SJX234/838
128,12,12,911,911,1003,CPA420/421
129,12,12,1063,1063,1113,AIQ231/231
130,12,12,1127,1127,1223,TVJ569/569
131,12,12,1218,1223,1300,HKE116/117
132,12,12,1316,1316,1346,SJX726
133,12,12,1376,1376,1406,TTW552
134,13,13,85,85,150,TGW897/897
135,13,13,361,361,417,TGW876/876
136,13,13,443,443,503,SJX820
137,13,13,524,524,607,CPA422/477
138,13,13,745,745,827,AIQ230/230
139,13,13,822,827,906,TVJ568/568
140,13,13,899,906,1006,TGW877/877
141,13,13,1065,1065,1142,THA634/635
142,13,13,1264,1264,1317,AMU618/615
143,13,13,1356,1356,1386,XAX379
144,14,14,91,91,121,CPA408
145,14,14,344,344,404,TTW210
146,14,14,416,416,476,CPA407
147,14,14,504,536,596,CAL731
148,14,14,614,614,669,CPA488/489
149,14,14,727,727,797,CPA450/450
150,14,14,816,816,876,CAL915
151,14,14,892,892,981,CPA400/443
152,14,14,988,988,1070,TGW896/896
153,14,14,1078,1078,1163,CPA565/565
154,14,14,1206,1206,1271,CPA402/479
155,14,14,1297,1297,1327,SJX839
156,15,15,-50,-50,10,XAX379
157,15,15,319,319,379,TTW234
158,15,15,389,389,475,EVA206/184
159,15,15,510,535,595,EVA215
160,15,15,624,624,677,CQH8951/8952
161,15,15,682,682,759,TTW655/720
162,15,15,789,789,861,THA632/633
163,15,15,870,870,937,TGW870/870
164,15,15,986,986,1016,SJX871
165,15,15,1051,1051,1134,CPA472/473
166,15,15,1115,1134,1164,SJX803
167,15,41,1183,1183,1213,SJX863
168,15,15,1276,1276,1306,CAL187
169,15,15,1358,1358,1388,EVA256
170,16,16,73,73,168,JJP011/012
171,16,16,274,274,304,EVA055
172,16,16,433,433,493,EVA281
173,16,16,524,524,584,EVA227
174,16,16,604,604,677,CPA564/564
175,16,16,770,770,888,EVA133/385
176,16,16,915,915,1013,EVA802/805
177,16,16,1058,1058,1088,EVA212
178,16,16,1184,1184,1244,EVA205
179,16,16,1331,1331,1361,EVA068
180,16,16,1386,1386,1416,SJX805
181,17,17,75,75,160,JJP051/050
182,17,17,297,297,524,SJX001/800
183,17,17,550,550,610,EVA707
184,17,17,761,761,831,HKE110/111
185,17,17,851,851,970,EVA234/716
186,17,17,1007,1014,1196,EVA384/381
187,17,17,1199,1199,1229,EVA202
188,17,17,1281,1281,1311,EVA872
189,18,18,-38,-38,22,SJX002
190,18,18,255,255,285,SJX031
191,18,18,340,340,370,EVA051
192,18,18,426,426,486,SJX771
193,18,18,535,569,629,EVA712
194,18,18,610,629,720,CPA530/530
195,18,18,734,734,818,CPA494/495
196,18,18,851,851,1010,EVA105/871
197,18,18,1019,1019,1102,EVA266/857
